Name,Team,Position,Total Points,Average Points
Kyrie Irving,BKN,"PG, SG",0,0.0
Harrison Barnes,SAC,"SF, PF",947,27.9
Spencer Dinwiddie,WSH,"SG, PG",777,26.8
Ben Simmons,PHI,PG,0,0.0
Kemba Walker,NY,PG,622,25.9
Seth Curry,PHI,"SG, PG",942,28.5
Keldon Johnson,SA,"SF, PF",879,25.1
Jalen Green,HOU,SG,456,19.8
Will Barton,DEN,"SF, SG",938,30.3
Reggie Jackson,LAC,PG,900,26.5
Nickeil Alexander-Walker,NO,SG,776,22.2
Kelly Oubre,CHA,"PF, SF",1021,26.9
Jordan Clarkson,UTAH,SG,854,23.1
Carmelo Anthony,LAL,"PF, SF",946,24.3
Tim Hardaway,DAL,"SG, SF",784,25.3
P.J. Washington,CHA,"PF, C",560,26.7
Ivica Zubac,LAC,C,874,25.0
Bojan Bogdanovic,UTAH,"PF, SF",931,25.2
Chris Boucher,TOR,"C, PF",585,18.3
Jalen Brunson,DAL,PG,1135,31.5
Isaiah Stewart,DET,"C, PF",621,22.2
Mitchell Robinson,NY,C,849,25.0
Robert Covington,POR,"PF, SF",729,22.1
Michael Porter,DEN,"SF, PF",183,20.3
Evan Fournier,NY,"SG, SF",764,20.6
Bogdan Bogdanovic,ATL,"SG, SF",528,22.0
Joe Ingles,UTAH,"SF, SG, PF",681,18.9
Collin Sexton,CLE,"SG, PG",222,20.2
Lauri Markkanen,CLE,"PF, SF",704,24.3
Aaron Gordon,DEN,"PF, SF",857,26.8
Thaddeus Young,SA,"PF, SF, C",391,17.0
Jonathan Isaac,ORL,"PF, SF",0,0.0
Malik Beasley,MIN,"SG, SF",768,20.8
Marvin Bagley,SAC,PF,311,16.4
Andre Drummond,PHI,C,736,23.7
Daniel Theis,HOU,"C, PF",390,17.0
Derrick Rose,NY,PG,659,25.3
Donte DiVincenzo,MIL,"SG, PG",33,11.0
Brook Lopez,MIL,C,28,28.0
Hassan Whiteside,UTAH,C,652,19.8
Dillon Brooks,MEM,"SG, SF",540,28.4
Killian Hayes,DET,PG,470,18.8
Alex Caruso,CHI,"PG, SG",693,26.7
LaMarcus Aldridge,BKN,"PF, C",735,27.2
Joe Harris,BKN,"SG, SF",274,19.6
Kawhi Leonard,LAC,"SF, PF",0,0.0
Ricky Rubio,CLE,PG,1011,29.7
T.J. McConnell,IND,PG,596,24.8
Patty Mills,BKN,PG,829,23.7
Mason Plumlee,CHA,C,704,24.3
Jae'Sean Tate,HOU,"SF, PF",956,26.6
Luguentz Dort,OKC,"SG, SF",815,24.7
Jamal Murray,DEN,"PG, SG",0,0.0
Hamidou Diallo,DET,SG,607,21.7
Marcus Morris,LAC,"PF, SF",428,25.2
Dorian Finney-Smith,DAL,"SF, PF",905,25.1
Kyle Anderson,MEM,"SF, PF",720,21.8
Pat Connaughton,MIL,"SG, SF",950,24.4
Monte Morris,DEN,PG,830,25.9
T.J. Warren,IND,SF,0,0.0
Coby White,CHI,PG,320,18.8
Chris Duarte,IND,SG,740,22.4
Thomas Bryant,WSH,C,0,0.0
Kelly Olynyk,DET,"C, PF",270,27.0
Duncan Robinson,MIA,"SG, SF",721,20.6
John Wall,HOU,PG,0,0.0
Patrick Beverley,MIN,PG,739,28.4
Nic Claxton,BKN,"C, PF",361,22.6
Jarred Vanderbilt,MIN,PF,774,24.2
Terance Mann,LAC,SF,800,21.6
James Wiseman,GS,C,0,0.0
Jae Crowder,PHX,"PF, SF",683,21.3
Kevin Huerter,ATL,"SG, SF",590,20.3
Cam Reddish,ATL,"SF, SG",618,19.9
Grayson Allen,MIL,SG,797,22.1
Alperen Sengun,HOU,C,755,21.6
Otto Porter,GS,SF,674,21.7
Blake Griffin,BKN,PF,451,16.7
Gary Harris,ORL,SG,610,19.7
Talen Horton-Tucker,LAL,"SG, SF",483,21.0
Darius Bazley,OKC,"SF, PF",673,21.7
De'Anthony Melton,MEM,"PG, SG",775,25.8
JaVale McGee,PHX,C,754,22.2
Victor Oladipo,MIA,SG,0,0.0
Royce O'Neale,UTAH,"SF, PF",809,23.1
Markelle Fultz,ORL,PG,0,0.0
Cody Martin,CHA,SF,823,24.9
De'Andre Hunter,ATL,"SF, PF",173,15.7
Larry Nance,POR,PF,746,20.7
Delon Wright,ATL,"SG, PG",434,14.0
Jalen Smith,PHX,PF,236,14.8
Terrence Ross,ORL,"SG, SF",549,18.3
Kentavious Caldwell-Pope,WSH,"SG, SF",735,21.6
Facundo Campazzo,DEN,PG,705,20.7
Rui Hachimura,WSH,"PF, SF",0,0.0
DeMarcus Cousins,MIL,C,308,19.3
Matisse Thybulle,PHI,"SF, SG",573,20.5
Dwight Howard,LAL,C,469,16.2
Danny Green,PHI,"SG, SF",509,20.4
Nicolas Batum,LAC,"SF, SG",434,22.8
Serge Ibaka,LAC,"C, PF",253,13.3
Isaac Okoro,CLE,SF,487,18.0
Luke Kennard,LAC,SG,783,22.4
Precious Achiuwa,TOR,"PF, C",459,18.4
Tyus Jones,MEM,PG,810,21.3
Caleb Martin,MIA,"SG, SF",551,19.7
Rajon Rondo,CLE,PG,220,12.2
Justin Holiday,IND,"SG, SF",585,18.3
Davion Mitchell,SAC,PG,632,19.2
Doug McDermott,SA,"SF, PF",453,17.4
Isaiah Roby,OKC,"PF, C",232,12.9
Patrick Williams,CHI,"SF, PF",72,14.4
Deni Avdija,WSH,SF,729,19.7
Nerlens Noel,NY,C,326,19.2
Enes Freedom,BOS,C,256,12.2
Obi Toppin,NY,PF,561,17.0
Garrison Mathews,HOU,"SG, SF",455,21.7
Immanuel Quickley,NY,PG,600,17.6
P.J. Tucker,MIA,"SF, PF",669,20.9
Goran Dragic,TOR,PG,90,18.0
Shake Milton,PHI,"PG, SG",559,20.7
Nassir Little,POR,"SF, PF",659,21.3
Lonnie Walker,SA,"SF, SG",636,19.3
Danilo Gallinari,ATL,"PF, SF",493,18.3
Rudy Gay,UTAH,PF,387,16.8
Cameron Payne,PHX,PG,620,19.4
Josh Richardson,BOS,"SG, SF",520,20.8
DeAndre Jordan,LAL,C,405,15.0
Andre Iguodala,GS,"SF, SG",364,20.2
Max Strus,MIA,SG,501,18.6
Cedi Osman,CLE,SF,579,22.3
Isaiah Hartenstein,LAC,"PF, C",683,23.6
Chimezie Metu,SAC,C,533,21.3
Kevon Looney,GS,PF,668,18.6
Aleksej Pokusevski,OKC,PF,368,11.2
Damian Jones,SAC,C,291,12.7
Willy Hernangomez,NO,C,402,18.3
Chuma Okeke,ORL,PF,470,17.4
Naz Reid,MIN,C,618,18.2
Isaiah Thomas,DAL,PG,54,10.8
Nemanja Bjelica,GS,PF,552,15.3
Dwight Powell,DAL,C,598,16.2
Khem Birch,TOR,C,336,18.7
Bruce Brown,BKN,SG,572,19.7
Aaron Wiggins,OKC,SG,248,14.6
Moses Brown,DAL,C,143,6.5
Kendrick Nunn,LAL,SG,0,0.0
Jaxson Hayes,NO,C,349,13.4
Terence Davis,SAC,SG,366,16.6
Jeff Green,DEN,PF,541,16.4
Georges Niang,PHI,PF,592,18.5
Gabe Vincent,MIA,PG,582,18.2
Onyeka Okongwu,ATL,C,108,27.0
Maxi Kleber,DAL,PF,434,19.7
Bismack Biyombo,PHX,C,81,40.5
George Hill,MIL,"PG, SG",563,17.1
Furkan Korkmaz,PHI,SG,549,17.2
Bryn Forbes,SA,"SG, PG",414,12.2
Dewayne Dedmon,MIA,C,545,16.5
Jordan Nwora,MIL,SF,473,16.3
Kyle Guy,MIA,SG,84,28.0
Grant Williams,BOS,PF,558,17.4
Kenyon Martin,HOU,SF,602,17.2
Jonathan Kuminga,GS,"SF, PF",182,7.3
Jeremy Lamb,IND,"SG, SF",355,13.7
Kenrich Williams,OKC,SF,552,16.7
Tristan Thompson,SAC,"C, PF",363,13.4
Tacko Fall,CLE,C,50,5.0
Josh Jackson,DET,"SF, SG",366,14.1
James Bouknight,CHA,SG,97,5.7
Reggie Bullock,DAL,"SF, SG",351,11.7
Lou Williams,ATL,SG,278,10.7
Frank Kaminsky,PHX,"C, PF",221,24.6
Bol Bol,DEN,C,66,5.5
Derrick Favors,OKC,"C, PF",384,13.7
R.J. Hampton,ORL,PG,491,14.4
Davis Bertans,WSH,PF,272,10.9
Greg Monroe,MIN,C,80,26.7
Trey Lyles,DET,PF,491,15.3
Damion Lee,GS,"SF, SG",375,14.4
Marc Gasol,LAL,C,0,0.0
Jalen McDaniels,CHA,PF,498,16.1
Garrett Temple,NO,"SG, SF",541,15.0
Payton Pritchard,BOS,PG,303,9.8
Paul Millsap,BKN,PF,209,9.1
Ish Smith,CHA,PG,310,11.9
Tomas Satoransky,NO,"PG, SG",267,8.6
Jaylen Nowell,MIN,SG,329,14.3
Bones Hyland,DEN,PG,357,14.3
Luka Garza,DET,C,213,9.3
Juan Toscano-Anderson,GS,"PF, SF",491,14.0
Cory Joseph,DET,PG,460,17.0
Jeremiah Robinson-Earl,OKC,"PF, C",504,15.8
D.J. Wilson,TOR,PF,69,34.5
Cam Thomas,BKN,SG,267,10.7
Thanasis Antetokounmpo,MIL,SF,220,9.2
Landry Shamet,PHX,SG,496,14.2
Ayo Dosunmu,CHI,SG,374,12.1
Kent Bazemore,LAL,"SG, SF",244,11.1
DeAndre' Bembry,BKN,SF,534,17.2
