TEAM	GP	W	L	MIN	OFFRTG	DEFRTG	NETRTG	AST%	AST/TO AST RATIO	OREB%	DREB%	REB%	TOV%	EFG%	TS%	PACE	PIE	POSS
Washington Wizards 35	18	17	1700.0	108.1	110.3	-2.3	59.8	1.79	17.9	24.5	73.5	49.6	13.6	52.4	55.7	97.13	49.8	3,438
Utah Jazz 34	25	9	1632.0	116.9	106.7	10.2	54.8	1.56	16.8	29.8	74.2	53.1	14.7	56.5	59.7	99.10	55.3	3,372
Toronto Raptors 31	14	17	1493.0	109.6	110.0	-0.4	54.3	1.71	16.0	31.7	69.4	49.6	13.1	50.3	53.4	96.66	48.2	3,005
San Antonio Spurs 33	14	19	1589.0	110.6	108.7	1.9	65.2	2.24	19.9	27.5	72.7	50.0	12.7	52.9	55.2	100.61	52.3	3,328
Sacramento Kings 36	15	21	1743.0	108.8	112.7	-3.8	55.4	1.55	16.3	28.2	69.9	48.9	14.4	51.7	55.1	100.02	47.4	3,629
Portland Trail Blazers
34	13	21	1637.0	109.6	113.6	-4.0	58.0	1.61	16.9	26.4	74.0	49.8	14.2	52.7	56.3	98.39	47.9	3,361
Phoenix Suns
34	27	7	1637.0	110.8	103.6	7.3	61.5	1.87	18.8	25.1	72.7	50.0	13.8	54.1	57.3	100.57	55.1	3,431
Philadelphia 76ers
35	19	16	1695.0	109.9	109.5	0.4	57.6	1.82	17.2	23.6	71.2	47.8	12.7	52.1	56.2	95.80	50.5	3,379
Orlando Magic
36	7	29	1728.0	103.2	113.1	-9.9	58.9	1.48	16.4	26.8	71.9	49.0	15.1	49.5	53.0	98.58	44.0	3,548
Oklahoma City Thunder
34	12	22	1632.0	101.1	109.0	-7.9	55.2	1.50	15.3	25.4	73.9	49.1	13.7	47.8	51.3	99.25	44.7	3,374
New York Knicks
35	17	18	1690.0	108.7	109.4	-0.7	56.6	1.58	16.1	28.3	72.4	50.3	14.0	51.3	54.9	96.17	48.9	3,393
New Orleans Pelicans
35	13	22	1690.0	107.0	111.0	-4.1	63.5	1.65	17.8	30.3	75.5	52.1	15.2	50.0	53.8	97.82	48.1	3,438
Minnesota Timberwolves
34	16	18	1647.0	107.3	107.8	-0.5	60.2	1.55	16.8	29.7	69.7	48.9	15.1	50.7	53.9	99.91	47.9	3,426
Milwaukee Bucks
37	24	13	1786.0	111.4	107.3	4.1	56.5	1.64	16.8	27.4	73.9	50.9	14.0	53.5	56.6	99.56	52.0	3,705
Miami Heat
35	22	13	1690.0	111.1	107.0	4.1	64.6	1.74	18.7	28.6	73.8	51.4	15.1	53.8	57.1	96.07	52.6	3,383
Memphis Grizzlies
36	22	14	1738.0	111.2	108.9	2.3	60.0	1.83	17.6	32.5	73.0	52.0	13.6	51.4	54.6	99.04	51.5	3,590
Los Angeles Lakers
36	17	19	1768.0	106.5	108.6	-2.1	58.8	1.53	17.2	26.1	72.5	49.9	15.4	52.8	55.7	101.16	49.3	3,728
LA Clippers
35	18	17	1685.0	105.8	105.5	0.3	58.9	1.55	17.0	25.3	71.3	48.9	14.9	52.0	55.1	98.92	50.4	3,475
Indiana Pacers
35	14	21	1695.0	109.6	109.5	0.1	58.8	1.70	17.5	29.8	74.4	51.9	14.3	52.2	55.4	97.35	50.4	3,442
Houston Rockets
35	10	25	1685.0	106.2	113.7	-7.5	60.3	1.34	16.9	27.1	71.3	49.3	17.1	52.9	55.9	100.60	46.1	3,528
Golden State Warriors
34	27	7	1637.0	111.7	101.6	10.1	69.0	1.74	19.9	27.9	74.6	52.1	16.1	55.7	58.5	98.96	56.4	3,375
Detroit Pistons
33	5	28	1589.0	100.7	110.4	-9.7	59.9	1.40	16.0	26.3	72.2	47.8	15.5	47.6	51.8	99.29	43.4	3,285
Denver Nuggets
33	17	16	1589.0	108.5	108.9	-0.5	64.2	1.88	19.0	25.1	74.4	49.6	14.0	53.3	56.0	97.09	50.1	3,217
Dallas Mavericks
34	16	18	1642.0	109.0	108.9	0.2	60.0	1.92	17.6	25.9	73.9	49.4	12.6	51.7	54.9	95.96	49.3	3,282
Cleveland Cavaliers
35	20	15	1680.0	109.5	103.7	5.7	64.1	1.64	18.6	27.4	73.3	51.0	15.7	53.4	56.7	98.13	53.0	3,434
Chicago Bulls
32	22	10	1536.0	112.0	108.0	4.0	57.7	1.81	17.9	24.5	72.8	49.1	13.3	54.1	57.7	98.94	51.7	3,164
Charlotte Hornets
36	19	17	1748.0	112.8	113.4	-0.6	62.8	2.07	18.9	26.1	69.9	47.5	12.7	53.8	56.6	101.08	49.5	3,676
Brooklyn Nets
33	23	10	1589.0	110.2	106.7	3.6	62.7	1.79	18.6	25.4	71.3	49.7	14.3	53.4	57.1	99.73	53.3	3,301
Boston Celtics
35	16	19	1710.0	107.8	107.5	0.3	57.8	1.63	16.6	27.6	73.2	50.2	13.9	50.9	54.8	97.94	50.5	3,494
Atlanta Hawks
34	15	19	1632.0	112.1	112.0	0.1	58.1	1.90	17.4	27.2	74.6	51.0	12.6	52.9	56.5	98.46	49.9	3,346